id;user_id;team_id;gender;message;phase;time;reply_to
72443.0;7894.0;3424.0;F;Yo supongo que debería ayudarlo ha hacer trampa mas bien le diera ánimo y le dijera que el sí puede y el es capaz;5.0;2023-04-19 04:30:10.037000+00:00;
72458.0;7894.0;3424.0;F;No debería;5.0;2023-04-19 04:30:35.352000+00:00;72443.0
72464.0;7941.0;3424.0;F;si debería;5.0;2023-04-19 04:30:47.092000+00:00;
72478.0;7894.0;3424.0;F;Que dicen los demás;5.0;2023-04-19 04:31:10.449000+00:00;72464.0
72479.0;7928.0;3424.0;M;No se trata de hacer trampa, porque no es algo que ninguno de los dos hace frecuentemente. Es algo crucial para su carrera, y además es su amigo. Yo opino que si debería ayudarle.;5.0;2023-04-19 04:31:10.915000+00:00;
72488.0;7941.0;3424.0;F;yo opino lo mismo;5.0;2023-04-19 04:31:31.599000+00:00;72479.0
72500.0;7894.0;3424.0;F;La ética no habla justo de eso entonces debemos ser éticos en todas las circunstancias de nuestras vidas;5.0;2023-04-19 04:31:50.429000+00:00;
72512.0;7928.0;3424.0;M;Yo puse el número dos porque si le ayudaría a hacer el examen, aunque estén consientes de que no es algo ético.;5.0;2023-04-19 04:32:02.147000+00:00;
72516.0;7941.0;3424.0;F;es una persona de bajos recursos, yo creo que tendría que hacer todo lo posible para no perder;5.0;2023-04-19 04:32:04.724000+00:00;
72530.0;7928.0;3424.0;M;Entonces, que número deberíamos poner. Porque debemos poner todos el mismo número;5.0;2023-04-19 04:32:25.459000+00:00;
72568.0;7928.0;3424.0;M;Exacto, dice que podría perder su beca.;5.0;2023-04-19 04:33:10.396000+00:00;72516.0
72571.0;7894.0;3424.0;F;Exacto el es muy capaz y lo que deberíamos es darle ánimo;5.0;2023-04-19 04:33:11.410000+00:00;72516.0
72590.0;7941.0;3424.0;F;yo creería que el numero 2, ya que estamos de acuerdo con que es una persona buena pero no es ético;5.0;2023-04-19 04:33:35.952000+00:00;
72595.0;7928.0;3424.0;M;La ética es relativa, todos en algún momento buscamos el camino fácil alguna vez;5.0;2023-04-19 04:33:39.982000+00:00;72500.0
72611.0;7928.0;3424.0;M;Opino lo mismo, el número dos;5.0;2023-04-19 04:33:59.481000+00:00;72590.0
72638.0;7928.0;3424.0;M;Estamos todos de acuerdo?;5.0;2023-04-19 04:34:35.076000+00:00;
72645.0;7894.0;3424.0;F;Si es cierto pero en este caso ellos siempre hablan del esfuerzo y lo deberían poner en práctica xq si no irían encontra de lo que ellos siempre piensan;5.0;2023-04-19 04:34:43.394000+00:00;72595.0
72666.0;7941.0;3424.0;F;de acuerdo;5.0;2023-04-19 04:35:13.951000+00:00;
72668.0;7928.0;3424.0;M;Pero si pierde su beca dejaría de estudiar, creo que es una situación crucial;5.0;2023-04-19 04:35:18.389000+00:00;72645.0
72688.0;7894.0;3424.0;F;No perderá su beca xq el se esforzará al 100 y logrará pasar la materia;5.0;2023-04-19 04:35:59.196000+00:00;72668.0
72692.0;7928.0;3424.0;M;Pero y si no?;5.0;2023-04-19 04:36:08.581000+00:00;
72694.0;7894.0;3424.0;F;Sin necesidad de la trampa;5.0;2023-04-19 04:36:13.967000+00:00;72688.0
72710.0;7928.0;3424.0;M;Entonces vamos con el 3;5.0;2023-04-19 04:36:45.762000+00:00;
72713.0;7928.0;3424.0;M;Es un punto medio;5.0;2023-04-19 04:36:52.819000+00:00;
72734.0;7928.0;3424.0;M;Porque yo no pienso cambiar de opinión, yo si le ayudaría;5.0;2023-04-19 04:37:27.253000+00:00;
72735.0;7894.0;3424.0;F;Si la pasará xq nosotros le ayudaremos a prepararse ese debe ser nuestro rol;5.0;2023-04-19 04:37:28.860000+00:00;72692.0
72756.0;7894.0;3424.0;F;Si sería 3 xq no lo ayudaría pero xq mi estica más no xq no quisiera ayudarlo como amigó;5.0;2023-04-19 04:38:15.123000+00:00;72713.0
72757.0;7941.0;3424.0;F;yo creo que tenemos que imaginar que estamos en el lugar de Sebastian;5.0;2023-04-19 04:38:16.214000+00:00;
72761.0;7928.0;3424.0;M;Pero no habla de ayudar a prepararse, sólo del examen;5.0;2023-04-19 04:38:24.835000+00:00;72735.0
72764.0;7941.0;3424.0;F;yo creo que todos hemos copiado alguna vez, asi no sea lo mas ético del mundo;5.0;2023-04-19 04:38:40.440000+00:00;
72778.0;7928.0;3424.0;M;Exacto;5.0;2023-04-19 04:39:10.343000+00:00;
72781.0;7941.0;3424.0;F;exactamente, no habla de ayudar a preparar para un examen;5.0;2023-04-19 04:39:17.475000+00:00;72761.0
72782.0;7928.0;3424.0;M;Entonces pongamos eso como argumento;5.0;2023-04-19 04:39:17.566000+00:00;
72789.0;7941.0;3424.0;F;y qué numero elegimos?;5.0;2023-04-19 04:39:28.166000+00:00;
72791.0;7894.0;3424.0;F;Eso de ley pero en este caso vuelvo y repito lo correcto es no ayudarlo con deshonestidad si no con moral;5.0;2023-04-19 04:39:32.674000+00:00;72764.0
72799.0;7928.0;3424.0;M;Que lo ayudaríamos pero estamos de acuerdo que no es algo ético;5.0;2023-04-19 04:39:41.948000+00:00;
72801.0;7928.0;3424.0;M;Número 3;5.0;2023-04-19 04:39:48.782000+00:00;72789.0
72804.0;7894.0;3424.0;F;Deacuerdo;5.0;2023-04-19 04:40:09.471000+00:00;72801.0
72808.0;7928.0;3424.0;M;De acuerdo o desacuerdo jajaja;5.0;2023-04-19 04:40:21.997000+00:00;
